name,state,adm_rate,cost,earnings,pop,debt
Abraham Baldwin Agricultural College,GA,0.7726,6953,32000,3244,15085.5
Adams State University,CO,0.6529,15868,32800,2110,16255
Adult and Community Education-Hudson,OH,0.8462,12700,33800,109,13000
Akron School of Practical Nursing,OH,0.4063,15529,34600,47,9500
Alabama A & M University,AL,0.5256,15229,30300,4206,33888
Alabama State University,AL,0.5326,11110,26600,4811,33118.5
Albany State University,GA,0.4729,12718,31500,3261,32555
Alcorn State University,MS,0.7844,15112,30400,3006,28000
Angelo State University,TX,0.8244,12717,37700,5290,21319.5
Appalachian State University,NC,0.6266,14165,36400,16116,20000
Applied Technology Services,MO,0.7143,20565,38200,166,14737
Arizona State University-Tempe,AZ,0.8433,10858,45100,39316,20229
Arkansas State University-Main Campus,AR,0.7239,11752,31700,9139,19250
Arkansas Tech University,AR,0.8626,10205,33800,8845,17480
Armstrong State University,GA,0.6803,14668,38400,6162,21000
Auburn University,AL,0.8347,18644,45700,20514,21831
Auburn University at Montgomery,AL,0.8017,13431,35000,4304,21335
Austin Peay State University,TN,0.8927,11325,34200,9003,23202
Autry Technology Center,OK,0.6533,11918,25200,303,PrivacySuppressed
Ball State University,IN,0.5988,15141,38800,15895,25000
Bemidji State University,MN,0.9353,14589,38900,4386,21500
Black Hills State University,SD,0.941,13706,34400,2910,25625
Bloomsburg University of Pennsylvania,PA,0.8781,18226,43900,9109,26000
Bluefield State College,WV,0.3834,8908,28300,1529,19500
Boise State University,ID,0.77,15897,35600,16206,23500
Bowie State University,MD,0.5506,13231,46800,4401,22927
Bowling Green State University-Main Campus,OH,0.5337,17944,38800,13697,26000
Bridgewater State University,MA,0.7931,17781,42300,9500,24500
Butler Tech-D Russel Lee Career Center,OH,0.821,23188,31700,370,6396
California Polytechnic State University-San Luis Obispo,CA,0.3089,18047,61800,19177,19166
California State Polytechnic University-Pomona,CA,0.5187,11085,50700,22269,18500
California State University-Bakersfield,CA,0.706,6297,46500,7524,14875
California State University-Chico,CA,0.7096,13640,44400,15844,16500
California State University-Dominguez Hills,CA,0.4234,2416,42500,12199,15594
California State University-East Bay,CA,0.7031,10340,51200,12275,15880
California State University-Fresno,CA,0.594,6265,43000,20128,15993.5
